EXT2	SNCG
EXT2	FABP4
MYC	SNRNP200
HEATR1	MYC
EEF1AKNMT	MYC
MYC	NUP205
MSH6	MYC
MCM7	MYC
MYC	POLE
MYC	NUP93
FANCI	MYC
GCN1	MYC
DDX24	MYC
ARHGEF2	MYC
GEMIN4	MYC
MYC	PRPF8
MYBBP1A	MYC
EXOC4	MYC
GTF3C3	MYC
MAX	MYC
MKLN1	MYC
EFTUD2	MYC
MYC	SMARCA4
MYC	MYO1B
HNRNPC	MYC
MYC	PDS5A
LXN	PANK2
DDX21	PSTPIP1
FANCC	FANCE
AKT1	AR
AR	IL6ST
AR	RAD9A
AR	SMAD3
AR	NCOA6
ESR2	NCOA6
NCOA6	RARA
BCAR1	TRIP6
SRC	TRIP6
APC	MUC1
BCL2	SERPINB8
BCR	FES
AR	CTNNB1
MYC	NMI
BLM	MRE11
BLM	MSH2
MRE11	NBN
MRE11	RAD50
CDH1	HDAC1
HDAC1	MAD1L1
CDH1	HDAC2
HDAC2	MAD1L1
CBL	ZAP70
CDK1	FANCG
AR	CCNH
AR	CDK7
CHEK2	MSH2
BCL3	NFKB1
TFAP2A	TP53
CDH1	CTNNB1
CDH1	MET
GADD45G	PCNA
AR	AR
CDH1	SRC
PIK3R1	SRC
CTBP1	SMAD6
AR	DAXX
CTNNB1	MUC1
AR	STAT3
CDK1	GADD45A
ESR2	SRC
BCL3	NFKB2
BCL3	RELB
AR	SP1
ESR2	RBM39
EPHA3	TP53
CDH1	VCL
BCAR1	SRC
BID	EZR
BID	FAS
BID	MSN
BID	RHOA
ARHGDIA	BID
BID	TNFRSF10B
CASP8	TNFRSF10B
BID	FADD
CASP8	FADD
BID	MAPK8
BID	CASP10
BID	CASP8
CASP8	EZR
CASP8	FAS
CASP8	MAPK8
CASP8	MSN
CASP10	CASP8
CASP8	RHOA
ARHGDIA	CASP8
BID	TNFRSF1A
CASP8	TNFRSF1A
CDH1	ITGAE
APC	TFAP2A
AR	GSK3B
GSK3B	MUC1
AR	GSN
BMPR1A	SMAD7
LYN	MUC1
BCAR1	PTK2
BCAR1	PXN
BCAR1	TNS1
CDH1	CTNNA1
CDH1	JUP
AR	SELENBP1
AR	HSP90AA1
AR	UXT
AR	CAV1
AR	JUN
CDH1	CSE1L
AR	PRKDC
AR	XRCC5
AR	XRCC6
AR	BAG1
APC	MAPRE2
AR	CREBBP
AR	NCOA1
AR	NCOR1
AR	NCOR2
AR	NCOA2
AR	CCND1
CCND1	HDAC3
AR	FOXO1
HDAC8	MDC1
AR	RNF14
ERBB2	MUC1
MAPK3	MYC
MAPK1	MYC
BCAR1	CRKL
BCAR1	CRK
LCK	PIK3R1
BCL2	MYC
ABL1	BCAR1
CDH1	GNA13
ESR1	SRC
AR	SRC
SFN	SORBS2
ARHGEF5	SFN
BCAR1	SFN
CGN	SFN
DTX2	SFN
IRS1	SFN
AJUBA	SFN
LSR	SFN
LMO7	SFN
NEDD4L	SFN
OSBPL3	SFN
PKP2	SFN
PPP1R3D	SFN
RALGPS2	SFN
RHPN2	SFN
SFN	TNS4
SFN	WEE1
FANCA	FANCC
JUP	MUC1
AR	PTEN
APC	AXIN1
AR	RB1
BMP2	BMPR1A
CDH1	CDH1
CDH1	CDH3
AR	ZMIZ1
ATM	EIF4EBP1
ATR	LIG4
LIG4	PRKDC
ATM	LIG4
ATM	MRE11
ATR	MRE11
MRE11	PRKDC
ATR	PIK3CA
ATR	POLD1
S100B	TP53
CTNNB1	LEF1
CDH15	GNA12
CDH1	GNA12
BMP7	BMPR2
AR	TGFB1I1
AR	MAPK1
ACTA1	ETV6
AKT1	FANCA
ALDOA	FANCA
FANCA	SPTAN1
ENO1	FANCA
AZIN1	FANCA
TFAP2C	TP53
AR	EGFR
AR	GSK3A
AR	KAT7
AR	NR2C1
ATM	MSH2
ATP5F1B	FANCA
CTNNB1	TFAP2A
FANCA	RMI1
BLM	FANCA
FANCA	TCERG1
CDK1	FANCA
CDK1	FANCC
CDH3	CDH3
CDKN1A	GADD45G
GADD45A	GADD45G
GADD45A	GADD45GIP1
GADD45B	GADD45GIP1
GADD45GIP1	NR4A1
CTDP1	POLR2A
RBBP8	SIAH2
CDH3	CTNNA1
CDH3	CTNNB1
CYP2E1	FANCG
EPB41L3	SPTBN1
DAXX	FANCA
DOK1	DOK2
DOK2	RASA1
DOK2	SHC1
DOK2	INPP5D
ESR1	GADD45G
FANCA	FANCA
ERCC4	FANCA
FANCA	FANCE
BMPR1A	FKBP1B
FANCA	GNB2
FANCA	HSP90B1
FANCA	HPRT1
DNAJB1	FANCA
FANCA	HSP90AA1
CHUK	FANCA
CDH3	JUP
FANCA	KRT1
FANCC	KRT1
LEF1	SMAD7
CD79A	FANCA
MLH1	MRE11
MLH1	MSH2
PELP1	SRC
FANCA	MKNK1
MRE11	MSH2
MSH2	NBN
MSH2	RAD50
MRE11	MSH6
MSH2	MSH6
FANCA	MX1
FANCA	NUB1
MDM2	TP73
FANCA	NAMPT
AR	PELP1
FANCA	FANCL
BCR	PIK3CG
DUS4L	FANCA
GADD45G	PPARA
GADD45G	PPARD
GADD45G	PPARG
FANCA	PRPF31
FANCA	PSMA5
GADD45G	RARA
GADD45A	RARA
MRE11	RFC1
MSH2	RFC1
FANCA	IFIT3
FANCA	RPA1
FANCA	RPL18
GADD45G	RXRA
FANCA	SGK1
NCOA6	SRC
FANCA	TAF10
GTF2H4	TBP
CCT3	FANCA
GTF2B	GTF2H4
